POSIZIONE;DESCRIZIONE;PESO IN KG
A1;INC. F.530 CREMOSI ASSORTITI LIBIA 0307137;283,4
A2;INC. F.530 CREMOSI ASSORTITI LIBIA 0307137;305,2
A3;INC. F.530 CREMOSI ASSORTITI LIBIA 0307137;163,9 + 10,21
A4;INC. F.530 “PERLE” PRALINE. CIOCC. LATTE/NOCC. LIBIA;66,5 + 365,84
A5;INC. F.530 TRASP. “DI GENNARO” PRIX;215,71
A6;INC. F.530 CREMOSI ASSORTITI DG3 VERDE/TRASP.;21 + 284,56
A7;INC. F.530 CREMOSI ASSORTITI DG3 VERDE/BIANCO;306,8
A8;INC. F.530 CREMOSI ASSORTITI DG3 VERDE/BIANCO;119,32
A9;INC. F.530 INC. F.530 CREMOSI ASSORTITI LIBIA 0307137. ASSORTITE ROSSA;195
A10;INC. F.530 TRASP.+ORO PRALINE;219,2
A11;INC. F.530 TRASP.+ORO PRALINE;290,2
A12;"INC. F.530 CAVALIERE ""GOLOSITÀ'"" ASS.";127,8
A13;INC. F.530 TRASP. 40 MICRON;200,61
A14;INC. F.530 TRASP. 40 MICRON;301,2
A15;INC. F.530 BIMBO;14
A15;INC. F.530 BIMBA;31,6
A16;INC. F. 450 TRASP.;183,44
A17;INC. F. 410 TRASP.;152,8
A18;INC. F. 375 TRASP.;132,56 + 27,48
A19;INC. F. 375 CAVAL. PRALINE FOND./NOCC.;344,96
A20;INC. F. 345 TRASP.;368,72
A21;INC. F. 345 PRALINE TRASP. + ORO DI GENNARO;384
A22;INC. F. 345 PRALINE TRASP. + ORO DI GENNARO;107,1
A23;INC. F. 345 TRASP.;96,6
A24;INC. F. 345 NEUTRO;120,69
A25;INC. F. 530 TRASP.+ROSSO PRALINE FOND./NOCC.;11,9
A25;INC. F. 415 MONTEVERGINE OVETTI ASS. VIOLA;441,46
A26;INC. F. 415 MONTEVERGINE OVETTI ASS. VIOLA;
A27;INC. F. 415 OVETTI ASSORTITI DI GENNARO VIOLA;197,9
A28;INC. F. 345 OVETTI PISTACCHIO MONTEVERGINE/DI GENNARO;302
A29;INC. F. 345 OVETTI FONDENTI MONTEVERGINE/DI GENNARO;112 + 13
A30;INC. F. 345 OVETTI FONDENTI MONTEVERGINE/DI GENNARO;347,6
